Sessions,Week Calendar,Players,Distance (m),Distance - Distance/time (m/min),Duration (min),"Acceleration Zones (count) [3.0, 4.0]","Acceleration Zones (count) [-4.0, -3.0]","Acceleration Zones (count) [4.0, 10.0]","Acceleration Zones (count) [-10.0, -4.0]",Accelerations - High Intensity Acc Abs (m),Accelerations - High Intensity Dec Abs (m),"Speed Zones (m) [15.0, 20.0]","Speed Zones (m) [20.0, 25.0]","Speed Zones (m) [25.0, 50.0]",Load - Power Metabolic AVG (W/kg),Sprints - Sprints Abs (count/min),Total Load,Load Intensity,Fatigue Score
MARTI 16.12.2025 ,77,Simion,8092,93.16,86.86,76,46,17,10,368.12,252,970.95,147.23,3.17,8.6,0.0,24.80074,93.16140916417223,4.573119416074329
MIERCURI 17.12.2025 FORTA,77,Simion,4050,61.1,66.3,40,36,14,15,246.26,238,188.38,68.57,0.0,7.2,0.0,17.3352,61.085972850678736,3.1965150919501486
SAMBATA 20.12.2025 REACTIVITATE,77,Simion,4753,58.65,82.2,35,31,15,8,198.77,151,272.56,25.53,0.0,7.2,0.0,15.3484,57.82238442822384,2.830160150288872
VINERI 19.12.2025 - TACTIC OFENSIV ,77,Simion,4610,60.18,76.62,37,30,15,9,279.84,189,258.4,56.22,127.76,6.9,0.07,18.042320000000004,60.167058209344816,3.3269041126605985
JOI - 11.12.2025,76,Simion,8584,78.79,108.94,71,41,21,15,590.51,344,1144.3,153.6,21.88,8.4,0.02,31.617959999999997,78.79566733982008,5.830177114580513
MARTI 12.09.2025 AEROB,76,Simion,6777,89.8,75.47,44,41,16,16,307.76,284,987.6,101.69,0.0,8.6,0.0,22.912200000000002,89.79727043858487,4.224883075463807
MECI OFICIAL PETROLUL - U CLUJ - 14.12.2025,76,Simion,5707,113.49,50.29,27,26,18,17,272.81,290,1038.3,328.31,21.87,10.6,0.06,22.60694,113.48180552793796,4.168594818220239
MIERCURI 10.12.2025 FORTA,76,Simion,4066,76.84,52.92,49,35,15,21,353.61,300,318.07,104.66,25.07,8.6,0.04,21.68834,76.83295540438397,3.999210054071835
SAMBATA 13.12.2025 REACTIVITATE,76,Simion,4767,52.29,91.17,32,26,5,11,145.01,127,212.84,12.87,0.0,6.9,0.0,13.6572,52.286936492267195,2.5183122152488324
TACTIC OFENSIV -  12.12.2025 ,76,Simion,5430,55.61,97.65,44,39,17,14,332.61,287,259.26,62.85,133.45,6.6,0.04,21.589100000000002,55.60675883256528,3.9809107464362077
MECI OFICIAL - U CLUJ - HERMANNSTADT ,75,Simion,4495,112.56,39.93,27,25,11,8,277.49,215,1004.42,221.31,38.2,10.9,0.08,20.271199999999997,112.57200100175307,3.7378972686752867
SAMBATA 06.12.2025 REACTIVITATE,75,Simion,3506,53.1,66.12,34,22,11,13,123.75,104,137.39,7.12,0.0,6.0,0.0,11.061,53.02480338777979,2.039587280911705
SEPSI-U CLUJ CUPA ,75,Simion,8844,130.91,67.56,32,50,15,11,294.31,417,1817.78,477.84,121.93,11.9,0.13,29.91406,130.9058614564831,5.5159873697160835
U CLUJ-CRAIOVA 01.12.2025,74,Simion,9251,130.38,70.96,55,58,18,10,463.39,532,1646.77,526.91,22.56,11.7,0.07,35.40392,130.36922209695604,6.528287218733887
JOI 18.12.2025 REZISTENTA SPECIFICA,77,Raji,5671,51.47,110.17,42,29,33,9,411.99,279,305.72,436.16,0.0,6.4,0.0,22.6908,51.47499319233911,4.184058138840188
MARTI 16.12.2025 ,77,Raji,6971,80.25,86.86,60,50,25,18,306.67,263,667.0,178.12,0.0,8.0,0.0,22.364400000000003,80.25558369790467,4.12387178240862
MIERCURI 17.12.2025 FORTA,77,Raji,3433,51.78,66.3,41,31,24,20,270.48,200,229.78,12.84,0.0,6.4,0.0,16.0426,51.77978883861237,2.9581667943905723
VINERI 19.12.2025 - TACTIC OFENSIV ,77,Raji,3795,49.53,76.62,20,30,9,5,196.21,157,86.13,31.68,129.24,5.5,0.05,14.117680000000002,49.530148786217694,2.6032221828027815
JOI - 11.12.2025,76,Raji,5846,53.66,108.94,25,12,13,2,307.51,127,379.67,369.12,117.83,6.4,0.06,18.27186,53.662566550394715,3.369230020305519
MARTI 12.09.2025 AEROB,76,Raji,6047,80.13,75.47,62,48,26,14,383.03,292,740.7,91.69,7.84,7.8,0.01,23.513279999999998,80.12455280243806,4.335718906112971
MIERCURI 10.12.2025 FORTA,76,Raji,3653,69.04,52.92,51,43,18,14,286.13,249,230.4,73.15,0.0,7.6,0.0,18.1556,69.02872260015117,3.34779231871626
TACTIC OFENSIV -  12.12.2025 ,76,Raji,4147,42.47,97.65,25,28,14,6,216.67,185,129.02,69.55,123.23,5.2,0.04,15.226859999999999,42.46799795186892,2.8077488458749844
COMPENSATOR MARTI 02.12.2025,75,Raji,3572,59.98,59.56,30,36,14,13,154.75,196,103.84,23.44,0.0,6.4,0.0,13.786999999999999,59.973136333109466,2.542246618020945
SAMBATA 06.12.2025 REACTIVITATE,75,Raji,4445,67.24,66.06,32,28,18,7,476.06,309,1290.51,333.68,121.63,8.4,0.08,24.989459999999998,67.28731456251892,4.607918341275817
TRAINING 05.12.2025,75,Raji,3206,65.68,48.82,48,39,13,17,171.07,144,70.12,4.5,0.0,6.7,0.0,12.8574,65.66980745596067,2.3708335146545663
LUNI 01.12.2025 Compensator ,74,Raji,4244,81.5,52.07,40,26,13,6,283.24,153,365.48,345.33,5.67,7.6,0.04,16.98014,81.5056654503553,3.1310439898833806
JOI 18.12.2025 REZISTENTA SPECIFICA,77,Postolachi,8053,73.1,110.17,48,37,12,21,422.48,409,826.82,405.17,107.84,8.0,0.07,29.24828,73.09612417173459,5.393221216575736
MARTI 16.12.2025 ,77,Postolachi,7373,84.88,86.86,39,41,9,8,194.69,210,840.52,234.59,0.0,8.3,0.0,19.616799999999998,84.88372093023256,3.6172295246531716
MECI OFICIAL -  U CLUJ - FC FARUL  ,77,Postolachi,3115,109.43,28.47,13,16,6,8,129.34,180,489.52,228.32,115.13,10.8,0.18,15.83206,109.41341763259572,2.919344381758518
MIERCURI 17.12.2025 FORTA,77,Postolachi,3892,58.7,66.3,43,33,8,7,225.72,169,247.44,44.33,0.0,6.7,0.0,15.1364,58.702865761689296,2.7910685217242506
SAMBATA 20.12.2025 REACTIVITATE,77,Postolachi,4466,54.33,82.2,32,22,18,8,246.96,116,369.4,126.48,23.06,6.7,0.02,15.22132,54.330900243309,2.8067273004870223
VINERI 19.12.2025 - TACTIC OFENSIV ,77,Postolachi,4727,61.7,76.62,38,34,12,4,321.23,176,284.9,127.42,131.42,7.1,0.1,18.984440000000003,61.694074654137296,3.500625834845983
JOI - 11.12.2025,76,Postolachi,7448,68.37,108.94,46,41,16,14,381.16,345,835.23,234.37,19.34,7.7,0.03,26.009880000000003,68.3679089407013,4.796078150803702
MECI OFICIAL PETROLUL - U CLUJ - 14.12.2025,76,Postolachi,1002,84.56,11.85,5,5,0,3,39.53,48,184.97,70.33,40.35,8.9,0.08,7.683300000000001,84.55696202531645,1.416758064861125
MIERCURI 10.12.2025 FORTA,76,Postolachi,3676,69.47,52.92,26,21,8,13,178.25,181,260.64,126.74,0.0,7.5,0.0,14.611,69.46334089191232,2.6941876648947582
SAMBATA 13.12.2025 REACTIVITATE,76,Postolachi,4876,53.48,91.17,31,36,17,11,239.18,208,327.19,76.89,0.79,6.6,0.0,17.121180000000003,53.482505210047165,3.1570509865473166
TACTIC OFENSIV -  12.12.2025 ,76,Postolachi,5088,52.1,97.65,41,32,18,7,367.29,207,310.1,160.76,154.63,6.7,0.06,20.533060000000003,52.104454685099846,3.78618280573157
COMPENSATOR MARTI 02.12.2025,75,Postolachi,3300,55.42,59.56,25,15,5,4,112.01,63,125.37,8.61,0.0,6.2,0.0,9.9002,55.40631296171927,1.8255421750729646
MECI OFICIAL - U CLUJ - HERMANNSTADT ,75,Postolachi,7445,115.56,64.43,28,32,9,16,283.22,298,1057.18,454.9,134.12,10.7,0.16,25.487640000000003,115.5517616017383,4.699779980513192
SAMBATA 06.12.2025 REACTIVITATE,75,Postolachi,3449,53.34,64.6,34,29,4,13,144.84,152,174.6,61.63,2.19,6.0,0.02,12.490179999999999,53.39009287925697,2.303120175779564
SEPSI-U CLUJ CUPA ,75,Postolachi,10964,109.53,100.1,47,61,23,27,482.47,607,1497.68,794.02,220.49,10.4,0.16,39.19438,109.53046953046953,7.2272270980218885
U CLUJ-CRAIOVA 01.12.2025,74,Postolachi,3410,111.69,30.53,11,12,6,8,183.19,193,513.33,204.79,150.4,11.0,0.26,18.0346,111.69341631182444,3.325480587318528
JOI 18.12.2025 REZISTENTA SPECIFICA,77,Orban,6380,57.91,110.17,39,40,20,12,404.88,248,373.8,502.71,18.09,7.2,0.01,23.123780000000004,57.910501951529454,4.263897258349197
VINERI 19.12.2025 - TACTIC OFENSIV ,77,Orban,4016,52.42,76.62,49,39,12,12,270.63,221,186.0,81.05,134.1,6.3,0.05,17.5168,52.414513181936826,3.2300011284941825
COMPENSATOR NISTOR 18.12.2025,77,Nistor,5102,79.46,64.21,15,10,0,0,79.88,68,130.19,0.0,0.0,8.0,0.0,12.0596,79.45802834449464,2.2237236030090224
NISTOR COMPENSATOR 17.12.2025,77,Nistor,2416,55.25,43.73,18,14,0,0,49.14,40,0.0,0.0,0.0,5.8,0.0,7.098800000000001,55.248113423279214,1.3089794945968731
NISTOR COMPENSATOR MARTI ,77,Nistor,5650,80.96,69.8,13,5,2,0,37.25,23,0.0,0.0,0.0,8.0,0.0,10.855,80.94555873925502,2.001602019193252
VINERI 19.12.2025 - TACTIC OFENSIV ,77,Nistor,4303,70.29,76.62,0,0,0,0,0.0,0,0.0,0.0,0.0,10.2,0.0,9.402999999999999,56.160271469590185,1.7338612424204647
JOI - 11.12.2025,76,Nistor,5096,48.97,108.94,0,0,0,0,0.0,0,56.21,15.43,64.47,8.3,0.01,9.424940000000001,46.77804295942721,1.7379068571879546
SAMBATA 13.12.2025 REACTIVITATE,76,Nistor,4048,69.55,91.17,1,0,0,0,0.82,0,0.0,0.0,0.0,8.0,0.0,8.0644,44.40057036305802,1.4870307990402631
TACTIC OFENSIV -  12.12.2025 ,76,Nistor,5603,81.69,97.65,0,0,0,0,0.0,0,194.26,14.54,56.64,9.6,0.01,10.566279999999999,57.37839221710189,1.9483636465556216
COMPENSATOR MARTI 16.12.2025,77,Murgia,3322,100.36,33.1,3,4,1,1,13.72,17,584.96,14.65,0.0,10.7,0.0,9.2864,100.36253776435045,1.712360846709923
JOI 18.12.2025 REZISTENTA SPECIFICA,77,Murgia,8772,79.62,110.17,67,44,7,19,430.92,361,1166.18,251.66,8.54,9.3,0.02,29.37748,79.62240174276118,5.4170449826632305
MECI OFICIAL -  U CLUJ - FC FARUL  ,77,Murgia,6187,122.85,100.73,37,43,14,30,324.21,374,1230.73,366.19,8.3,11.5,0.02,26.0178,61.42162215824481,4.797538555040644
MIERCURI 17.12.2025 FORTA,77,Murgia,4408,66.5,66.3,35,35,5,14,235.08,229,251.51,149.05,0.71,7.9,0.0,17.64102,66.48567119155355,3.252906610099359
SAMBATA 20.12.2025 REACTIVITATE,77,Murgia,5457,67.07,82.2,52,37,10,13,274.71,215,509.67,58.83,5.72,8.2,0.01,19.41264,66.38686131386861,3.579583548767544
VINERI 19.12.2025 - TACTIC OFENSIV ,77,Murgia,4906,64.04,76.62,42,31,7,9,195.45,181,268.48,68.27,103.68,7.5,0.05,16.642359999999996,64.03027930044374,3.068759224333579
COMPENSATOR MARTI 09.12.2025 AEROB,76,Murgia,3111,78.12,39.82,2,3,1,2,15.21,18,473.19,39.2,0.0,8.2,0.0,7.8751999999999995,78.12656956303366,1.452143364491082
JOI - 11.12.2025,76,Murgia,8649,79.4,108.94,61,38,5,19,398.04,322,1071.47,268.03,34.76,8.9,0.02,27.669320000000003,79.39232605103727,5.102069717338022
MECI OFICIAL PETROLUL - U CLUJ - 14.12.2025,76,Murgia,11036,116.8,95.6,55,79,15,38,394.63,658,1922.13,584.29,52.85,11.0,0.07,38.0443,115.43933054393307,7.015158700948303
MIERCURI 10.12.2025 FORTA,76,Murgia,4017,75.92,52.92,34,23,5,10,250.14,164,299.03,151.31,0.0,8.5,0.0,16.5498,75.90702947845804,3.0516916717866867
SAMBATA 13.12.2025 REACTIVITATE,76,Murgia,5385,59.07,91.17,47,53,22,14,275.37,242,331.06,64.92,7.75,7.3,0.01,19.4479,59.06548206646923,3.5860852979335274
TACTIC OFENSIV -  12.12.2025 ,76,Murgia,5200,53.25,97.65,40,34,1,11,266.11,185,326.21,89.65,104.7,6.7,0.04,17.9816,53.25140809011776,3.315707680177372
COMPENSATOR MARTI 02.12.2025,75,Murgia,4058,68.14,59.56,32,16,2,6,138.88,84,145.81,2.2,0.0,6.9,0.0,11.965599999999998,68.13297515110813,2.2063905224190483
MECI OFICIAL - U CLUJ - HERMANNSTADT ,75,Murgia,12096,125.21,96.73,56,58,12,39,392.4,546,1957.75,471.94,75.89,11.2,0.05,36.865779999999994,125.04910575829628,6.797846125023876
SAMBATA 06.12.2025 REACTIVITATE,75,Murgia,3564,54.37,65.5,20,22,6,7,97.71,102,178.05,38.73,0.0,6.5,0.0,10.8082,54.412213740458014,1.9929723577931369
SEPSI-U CLUJ CUPA ,75,Murgia,11839,118.28,100.1,59,76,17,35,442.61,582,1896.64,519.34,52.36,11.1,0.06,38.28592,118.27172827172828,7.05971209384351
JOI 18.12.2025 REZISTENTA SPECIFICA,77,Moraru,6857,62.24,110.17,49,27,17,10,452.95,268,615.07,515.5,1.45,8.1,0.01,25.3789,62.24017427611872,4.679728925371131
MARTI 16.12.2025 ,77,Moraru,7709,88.74,86.86,43,47,4,8,162.3,247,837.38,253.03,0.0,9.0,0.0,20.395000000000003,88.75201473635735,3.760725304601232
MIERCURI 17.12.2025 FORTA,77,Moraru,3905,58.91,66.3,35,36,12,13,201.91,227,219.18,17.27,0.0,7.3,0.0,16.1332,58.898944193061844,2.9748729337677164
SAMBATA 20.12.2025 REACTIVITATE,77,Moraru,3077,46.74,82.2,36,31,3,6,136.23,101,88.92,10.5,0.0,6.0,0.0,10.8216,37.4330900243309,1.9954432437495804
VINERI 19.12.2025 - TACTIC OFENSIV ,77,Moraru,4259,55.59,76.62,32,32,12,9,273.01,266,195.2,175.0,140.56,6.6,0.07,18.97032,55.58600887496737,3.498022184867999
JOI - 11.12.2025,76,Moraru,6036,55.4,108.94,37,22,5,1,257.4,101,319.41,329.45,2.8,6.8,0.01,16.6596,55.40664586010648,3.0719381850715703
MIERCURI 10.12.2025 FORTA,76,Moraru,2414,45.63,52.92,32,19,29,33,334.21,258,341.11,45.2,0.0,8.3,0.0,18.4082,45.61602418745276,3.3943703629399558
TACTIC OFENSIV -  12.12.2025 ,76,Moraru,4356,44.61,97.65,34,34,9,11,285.43,225,220.78,75.66,127.4,6.1,0.04,18.069399999999998,44.60829493087557,3.331897515026305
COMPENSATOR MARTI 02.12.2025,75,Moraru,4905,82.36,59.56,9,9,2,1,31.02,27,4.24,0.0,0.0,8.5,0.0,10.3154,82.35392881128274,1.9021027608278276
TRAINING 05.12.2025,75,Moraru,3279,67.17,48.82,22,29,5,7,103.36,128,134.62,36.19,0.0,7.2,0.0,11.5062,67.16509627201967,2.1216797008974106
COMPENSATOR 04.12.2025,74,Moraru,1793,55.09,32.54,18,6,1,3,112.61,33,122.34,121.65,0.0,7.5,0.0,8.455200000000001,55.10141364474493,1.559092159620708
JOI 18.12.2025 REZISTENTA SPECIFICA,77,Miguel,7542,68.46,110.17,38,38,15,25,312.07,386,677.36,185.17,23.54,7.3,0.03,25.350479999999997,68.45783788690206,4.674488434409778
MARTI 16.12.2025 ,77,Miguel,6957,80.1,86.86,43,41,9,14,206.88,222,832.24,119.52,0.0,7.8,0.0,19.4346,80.09440478931614,3.5836328514245204
MIERCURI 17.12.2025 FORTA,77,Miguel,4035,60.86,66.3,40,26,9,21,235.52,214,269.37,79.93,11.88,6.8,0.02,16.54916,60.859728506787334,3.0515736593230947
SAMBATA 20.12.2025 REACTIVITATE,77,Miguel,4276,52.02,82.2,41,30,8,18,198.67,192,271.44,74.41,0.0,6.1,0.0,15.139399999999998,52.01946472019465,2.791621705147334
VINERI 19.12.2025 - TACTIC OFENSIV ,77,Miguel,4737,61.83,76.62,34,34,15,6,334.46,214,288.41,175.96,137.59,6.5,0.08,19.63138,61.82458888018794,3.6199179960893613
JOI - 11.12.2025,76,Miguel,6424,58.97,108.94,36,20,8,7,302.86,143,407.3,275.23,27.31,6.9,0.01,18.89582,58.96823939783367,3.4842847965280725
MARTI 12.09.2025 AEROB,76,Miguel,5929,78.57,75.47,28,31,8,10,180.19,192,710.28,130.58,5.09,7.7,0.01,17.282980000000002,78.56101762289651,3.186886012498995
MIERCURI 10.12.2025 FORTA,76,Miguel,4080,60.34,67.63,31,23,3,12,149.85,169,225.62,72.77,0.0,6.7,0.0,13.807,60.32825669081769,2.545934507508174
SAMBATA 13.12.2025 REACTIVITATE,76,Miguel,4789,52.53,91.17,41,30,15,14,184.69,172,190.12,20.62,0.0,6.0,0.0,14.922799999999999,52.528243939892505,2.75168186200065
TACTIC OFENSIV -  12.12.2025 ,76,Miguel,4654,47.66,97.65,32,25,9,16,292.71,224,236.98,98.69,116.56,5.9,0.04,18.371319999999997,47.660010240655396,3.3875698947255057
SAMBATA 06.12.2025 REACTIVITATE,75,Miguel,3359,51.32,65.41,25,20,11,11,127.45,106,88.39,36.44,0.0,5.4,0.0,10.727999999999998,51.35300412780921,1.9781839209493506
TRAINING 05.12.2025,75,Miguel,3448,70.62,48.82,29,27,8,12,124.52,145,180.39,34.67,0.0,7.0,0.0,12.3384,70.62679229823843,2.2751327824609873
U CLUJ-CRAIOVA 01.12.2025,74,Miguel,10999,113.02,97.32,49,59,16,37,430.87,530,1094.5,430.64,68.21,10.2,0.07,35.802820000000004,113.0189066995479,6.60184217455666
COMPENSATOR MARTI 16.12.2025,77,Macalou,3152,95.24,33.1,10,4,3,2,74.03,18,540.93,8.55,0.0,9.1,0.0,9.5426,95.22658610271903,1.7596027110413195
JOI 18.12.2025 REZISTENTA SPECIFICA,77,Macalou,6603,59.94,110.17,43,29,19,17,362.75,292,460.26,189.3,66.9,6.8,0.04,23.4318,59.934646455477896,4.320694444342002
MECI OFICIAL -  U CLUJ - FC FARUL  ,77,Macalou,9082,102.44,88.66,72,67,51,56,703.96,700,834.51,580.92,327.45,9.6,0.27,43.9661,102.43627340401534,8.107105899221779
MIERCURI 17.12.2025 FORTA,77,Macalou,3914,59.04,66.3,42,31,19,10,229.41,169,136.21,29.62,0.0,6.2,0.0,14.9822,59.034690799396685,2.7626348937777188
SAMBATA 20.12.2025 REACTIVITATE,77,Macalou,4602,56.34,82.2,44,48,34,13,310.67,253,295.6,60.07,0.0,6.1,0.0,18.9254,55.98540145985401,3.4897391850796837
VINERI 19.12.2025 - TACTIC OFENSIV ,77,Macalou,3746,48.9,76.62,32,20,8,14,222.01,214,226.32,132.41,88.88,5.5,0.08,15.79396,48.89062907856956,2.9123189522853474
COMPENSATOR MARTI 09.12.2025 AEROB,76,Macalou,3370,84.63,39.82,32,25,12,9,157.47,105,409.0,76.43,5.8,8.1,0.0,12.681000000000001,84.63083877448518,2.338306329377211
JOI - 11.12.2025,76,Macalou,6823,62.63,108.94,44,25,17,10,373.02,200,470.53,163.85,126.09,6.6,0.05,22.08558,62.630805948228385,4.072458915067167
MECI OFICIAL PETROLUL - U CLUJ - 14.12.2025,76,Macalou,9262,101.24,91.48,73,65,25,35,575.98,593,1110.44,469.21,186.37,9.7,0.14,38.56434,101.24617402710975,7.111051203395218
MIERCURI 10.12.2025 FORTA,76,Macalou,3418,64.59,52.92,37,25,6,12,190.04,183,136.86,70.01,0.0,6.7,0.0,14.2288,64.5880574452003,2.623712096793822
SAMBATA 13.12.2025 REACTIVITATE,76,Macalou,4357,47.79,91.17,40,29,16,10,231.87,185,163.8,24.25,0.0,5.9,0.0,15.644400000000001,47.789843150159044,2.8847409146998535
TACTIC OFENSIV 12.12.2025 2,76,Macalou,4403,45.65,96.45,32,32,11,12,244.23,237,229.19,94.7,0.0,5.8,0.0,16.9276,45.65059616381545,3.121355904200432
MECI OFICIAL - U CLUJ - HERMANNSTADT ,75,Macalou,10175,105.87,96.73,73,74,38,47,721.8,702,1100.12,573.68,233.17,9.4,0.14,44.51734000000001,105.18970329783934,8.208751509268774
SAMBATA 06.12.2025 REACTIVITATE,75,Macalou,3949,62.32,63.32,32,29,8,10,130.55,132,85.36,28.62,13.97,5.6,0.02,12.12794,62.36576121288692,2.236325121386882
SEPSI-U CLUJ CUPA ,75,Macalou,3546,96.18,36.87,34,30,22,29,310.48,332,409.54,204.11,115.08,9.1,0.22,22.275760000000005,96.17575264442637,4.107527056201223
U CLUJ-CRAIOVA 01.12.2025,74,Macalou,9088,101.47,89.57,71,49,24,31,596.4,586,845.59,412.59,224.8,9.6,0.18,38.88559999999999,101.46254326225299,7.170289772228566
COMPENSATOR MARTI 16.12.2025,77,Lukic,3158,95.43,33.1,4,0,0,0,40.8,0,574.66,16.65,0.0,10.3,0.0,9.124,95.40785498489426,1.682415184073628
JOI 18.12.2025 REZISTENTA SPECIFICA,77,Lukic,7461,67.73,110.17,62,54,32,23,595.46,510,773.51,343.26,110.95,8.7,0.09,34.5921,67.7226105110284,6.378592096557797
MECI OFICIAL -  U CLUJ - FC FARUL  ,77,Lukic,7775,109.46,71.04,45,47,20,28,583.11,570,1112.33,585.27,232.56,11.2,0.25,38.15232,109.44538288288287,7.035076992068824
MIERCURI 17.12.2025 FORTA,77,Lukic,3678,55.48,66.3,41,19,5,9,202.98,139,145.19,50.08,1.51,6.9,0.02,14.07062,55.47511312217195,2.5945445788393324
SAMBATA 20.12.2025 REACTIVITATE,77,Lukic,4895,59.54,82.2,55,59,32,17,386.31,315,410.8,165.92,4.54,7.7,0.01,22.830280000000005,59.54987834549878,4.20977748012412
VINERI 19.12.2025 - TACTIC OFENSIV ,77,Lukic,4239,55.33,76.62,48,33,15,10,361.76,216,256.21,135.85,85.71,7.2,0.04,19.76562,55.32498042286609,3.6446711103276384
COMPENSATOR MARTI 09.12.2025 AEROB,76,Lukic,2951,74.12,39.82,2,0,0,0,12.98,0,431.29,65.62,0.0,8.0,0.0,7.2105999999999995,74.10848819688599,1.32959479683048
JOI - 11.12.2025,76,Lukic,6995,64.21,108.94,44,37,17,16,391.1,344,676.39,255.8,27.44,8.0,0.04,25.95188,64.20965669175693,4.785383271290739
MECI OFICIAL PETROLUL - U CLUJ - 14.12.2025,76,Lukic,10451,104.32,100.19,69,55,28,44,691.67,749,1428.71,661.08,343.94,10.6,0.2,46.25227999999999,104.31180756562532,8.528664858617377
MIERCURI 10.12.2025 FORTA,76,Lukic,3528,66.68,52.92,28,31,9,16,204.43,241,171.36,95.35,32.2,7.8,0.08,16.801,66.66666666666667,3.098011563746275
SAMBATA 13.12.2025 REACTIVITATE,76,Lukic,5095,55.89,91.17,75,55,31,25,424.33,379,353.18,55.44,0.0,7.2,0.0,24.7616,55.884611165953714,4.565902216347824
TACTIC OFENSIV -  12.12.2025 ,76,Lukic,4793,49.08,97.65,46,37,10,9,327.62,224,256.36,101.73,167.01,6.8,0.06,19.85942,49.083461341525854,3.6619673120227403
MECI OFICIAL - U CLUJ - HERMANNSTADT ,75,Lukic,8790,114.07,77.05,45,34,15,27,460.86,456,1157.0,563.55,334.42,10.9,0.27,34.59604,114.08176508760546,6.379318610786781
SAMBATA 06.12.2025 REACTIVITATE,75,Lukic,3719,56.21,66.12,41,31,13,12,204.94,171,186.42,75.59,17.5,6.9,0.03,14.8728,56.24621899576527,2.742462138282579
TRAINING 05.12.2025,75,Lukic,3359,68.82,48.82,37,29,14,9,230.21,170,170.08,71.55,5.6,7.6,0.02,15.274400000000002,68.8037689471528,2.816514959186127
COMPENSATOR 04.12.2025,74,Lukic,1774,53.97,32.88,10,10,5,3,99.51,41,70.82,212.3,0.0,7.8,0.0,8.4842,53.953771289537706,1.564439599377189
U CLUJ-CRAIOVA 01.12.2025,74,Lukic,10846,113.62,95.47,70,60,24,39,684.31,710,1349.34,578.47,254.69,10.9,0.18,45.59158,113.60636849272022,8.406835429406787
JOI 18.12.2025 REZISTENTA SPECIFICA,77,Jasper,7272,66.01,110.17,41,31,6,12,264.27,265,466.53,133.88,32.58,7.5,0.03,21.82256,66.00707996732322,4.023959480420626
MARTI 16.12.2025 ,77,Jasper,6607,76.07,86.86,43,39,7,12,170.25,189,704.36,184.83,0.0,7.8,0.0,17.692,76.06493207460281,3.262307040402304
MIERCURI 17.12.2025 FORTA,77,Jasper,3999,60.33,66.3,25,26,8,5,145.87,125,183.96,3.41,0.0,6.9,0.0,12.866399999999999,60.31674208144797,2.3724930649238187
SAMBATA 20.12.2025 REACTIVITATE,77,Jasper,4285,52.13,82.2,33,33,9,12,183.4,213,235.06,67.74,8.04,6.6,0.01,15.579080000000001,52.12895377128954,2.872696267634565
VINERI 19.12.2025 - TACTIC OFENSIV ,77,Jasper,3986,52.09,76.62,21,13,6,2,157.37,75,150.57,57.73,94.0,6.2,0.05,12.1714,52.02297050378491,2.2443389052426297
SAMBATA 13.12.2025 REACTIVITATE,76,Jasper,2456,48.69,91.17,25,15,2,6,218.85,154,424.15,17.29,0.0,6.8,0.0,13.313,26.938685971262476,2.4548436371736306
TACTIC OFENSIV 12.12.2025 2,76,Jasper,5966,61.86,96.45,20,4,1,0,136.5,6,648.81,260.9,0.0,7.6,0.0,12.616,61.855883877656815,2.3263206885437184
COMPENSATOR MARTI 02.12.2025,75,Jasper,3642,61.16,59.56,29,14,11,6,155.23,89,107.6,35.04,10.25,6.6,0.02,11.9471,61.14842175957018,2.2029792246433626
JOI 18.12.2025 REZISTENTA SPECIFICA,77,Gheorghita,7615,69.12,110.17,39,42,14,33,323.98,431,747.4,284.86,70.94,7.9,0.07,27.156480000000002,69.12045021330671,5.007504855106509
MARTI 16.12.2025 ,77,Gheorghita,7326,84.34,86.86,57,50,20,16,343.85,279,937.97,82.94,0.0,8.1,0.0,23.833000000000002,84.34262030854248,4.394673507455805
MECI OFICIAL -  U CLUJ - FC FARUL  ,77,Gheorghita,3036,105.58,28.75,20,19,4,12,176.02,190,469.62,233.54,48.28,10.9,0.1,16.40296,105.6,3.024615187171455
MIERCURI 17.12.2025 FORTA,77,Gheorghita,4002,60.37,66.3,43,40,16,13,258.18,195,233.62,45.27,0.0,7.1,0.0,16.6156,60.36199095022625,3.063824828199668
SAMBATA 20.12.2025 REACTIVITATE,77,Gheorghita,3810,46.35,82.2,38,22,18,19,273.09,240,295.31,78.67,55.43,7.1,0.05,17.98266,46.35036496350365,3.3159031383201953
VINERI 19.12.2025 - TACTIC OFENSIV ,77,Gheorghita,4531,59.14,76.62,42,31,13,14,281.82,277,252.21,76.22,133.66,6.6,0.07,19.62472,59.13599582354476,3.618689928890114
JOI - 11.12.2025,76,Gheorghita,7706,70.73,108.94,51,38,15,27,387.69,391,849.89,218.33,36.97,8.0,0.04,27.55374,70.73618505599413,5.080757403991329
MARTI 12.09.2025 AEROB,76,Gheorghita,6594,87.37,75.47,55,50,16,18,353.45,320,889.89,159.2,7.85,8.5,0.01,24.378700000000002,87.37246588048231,4.4952975721148345
MIERCURI 10.12.2025 FORTA,76,Gheorghita,3685,69.64,52.92,35,30,6,12,223.58,185,269.32,60.21,2.24,7.8,0.02,15.86108,69.6334089191232,2.9246955094044864
SAMBATA 13.12.2025 REACTIVITATE,76,Gheorghita,4879,53.52,91.17,33,30,20,11,218.42,205,248.76,42.79,13.28,6.5,0.01,16.67396,53.51541077108698,3.0745860897234008
