Sessions,Week Calendar,Players,Distance (m),Distance - Distance/time (m/min),Duration (min),"Acceleration Zones (count) [3.0, 4.0]","Acceleration Zones (count) [-4.0, -3.0]","Acceleration Zones (count) [4.0, 10.0]","Acceleration Zones (count) [-10.0, -4.0]",Accelerations - High Intensity Acc Abs (m),Accelerations - High Intensity Dec Abs (m),"Speed Zones (m) [15.0, 20.0]","Speed Zones (m) [20.0, 25.0]","Speed Zones (m) [25.0, 50.0]",Load - Power Metabolic AVG (W/kg),Sprints - Sprints Abs (count/min),Total Load,Load Intensity,Fatigue Score
TEHNIC + TACTIC -29.11.2025,74,Postolachi,4715,49.65,94.97,31,35,7,6,223.15,188,308.34,89.02,21.91,6.3,0.01,16.181820000000002,49.64725702853533,2.9838381931111697
Tactic 26.11.2025,74,Postolachi,6090,64.95,93.78,39,24,9,3,228.24,145,355.0,36.28,0.0,7.1,0.0,17.1048,64.93921944977608,3.1540306050572764
VINERI 28.11.2025,74,Postolachi,7149,68.71,104.04,53,41,9,13,422.26,319,699.77,336.28,91.32,7.8,0.07,26.40684,68.71395617070357,4.8692753813462115
Joi 20.11.2025,73,Postolachi,6016,52.49,114.61,35,29,15,12,246.19,202,338.3,155.09,95.4,6.1,0.04,18.4206,52.4910566268214,3.3966568544220372
Miercuri 19.11.2025,73,Postolachi,7171,77.87,92.08,45,20,15,8,380.5,167,819.85,590.9,13.54,8.4,0.02,22.448080000000004,77.877932232841,4.139301912023184
vineri 21.11.2025,73,Postolachi,4785,51.08,93.68,42,32,4,7,194.93,139,153.17,38.44,0.0,5.6,0.0,14.2636,51.078138343296324,2.6301290245015996
JOC OFICIAL U-METALOGLOBUS,71,Postolachi,7121,117.29,60.71,32,39,10,21,296.63,459,1180.2,681.48,177.4,11.1,0.21,29.1884,117.29533849448197,5.382179675450973
JOI 06.11.2025 ,71,Postolachi,4370,54.7,79.9,31,29,13,11,169.12,117,211.03,45.38,0.0,6.3,0.0,13.2424,54.693366708385476,2.441825387283714
MARTI 04.11.2025 METABOLIC,71,Postolachi,7426,63.4,117.12,45,29,9,6,421.78,254,495.64,229.56,32.05,7.3,0.04,24.8557,63.40505464480874,4.583253736385233
MIERCURI 05.11.2025,71,Postolachi,6143,55.26,111.17,35,29,8,5,238.26,156,347.13,181.72,154.91,6.2,0.07,17.788020000000003,55.25771341189169,3.2800125978304884
JOC OFICIAL   UTA - U CLUJ ,73,Orban,3512,110.06,31.92,43,39,15,18,384.73,327,487.86,207.49,50.44,10.7,0.16,23.99748,110.0250626566416,4.425002710598772
Joi 20.11.2025,73,Orban,5936,51.79,114.61,58,58,23,15,303.75,227,401.77,47.69,97.07,6.3,0.03,20.045139999999996,51.793037256783876,3.6962130538011433
Miercuri 19.11.2025,73,Orban,7816,86.25,92.08,64,76,55,43,697.74,555,850.78,550.43,107.75,9.0,0.13,38.2363,84.88271068635969,7.050562440025696
vineri 21.11.2025,73,Orban,3313,35.37,93.68,40,27,7,6,102.89,69,16.06,3.25,0.0,4.8,0.0,9.1508,35.36507258753202,1.687356955986514
JOI 13.11.2025,72,Orban,6088,67.95,89.6,84,62,25,21,496.62,368,380.93,432.44,42.12,8.3,0.08,28.01464,67.94642857142857,5.165744817224508
Joc Amical Zibru,72,Orban,7061,58.41,120.89,60,58,41,34,824.55,670,784.15,976.82,313.51,10.1,0.15,43.37902,58.408470510381335,7.998851591213675
MARTI 11.11.2025,72,Orban,8593,110.44,77.82,78,59,30,25,546.01,402,1931.73,182.35,0.0,11.2,0.0,33.1532,110.42148547931124,6.113266887399144
MARTI 18.11.2025 Grupa 1,72,Orban,5736,65.64,87.39,85,94,46,44,484.45,506,331.13,60.86,3.46,8.1,0.01,29.651920000000004,65.63680054926193,5.467650202206981
MIERCURI A2 12.11.2025 SSG,72,Orban,3758,70.94,52.98,56,44,22,19,320.95,232,258.62,34.0,0.77,8.3,0.0,18.96854,70.93242733106833,3.497693962703636
MIERECURI 12.112025,72,Orban,4358,50.18,86.84,58,39,25,22,382.76,252,327.2,170.78,32.49,6.7,0.02,20.56818,50.18424689083371,3.7926587396711433
Vineri 14.11.2025,72,Orban,7958,63.1,126.18,103,83,49,52,767.08,622,573.33,205.66,45.04,7.5,0.03,39.72968,63.06863211285465,7.325933460147559
JOI 06.11.2025 ,71,Orban,5178,64.81,79.9,74,67,27,23,348.11,360,352.19,36.44,3.61,7.8,0.0,23.247419999999998,64.80600750938673,4.286695791159243
MARTI 25.11.2025  (AEROB ),74,Nistor,8944,99.81,89.62,38,29,4,8,180.22,216,1040.83,103.13,9.23,9.4,0.01,21.636860000000002,99.79915197500557,3.9897174265317092
JOC OFICIAL   UTA - U CLUJ ,73,Nistor,2268,99.91,22.7,11,3,0,8,78.76,59,282.51,47.1,0.0,9.7,0.0,9.8732,99.91189427312776,1.8205635242652063
JOC OFICIAL U-METALOGLOBUS,71,Nistor,4294,106.19,40.44,19,14,3,6,103.36,126,635.66,80.54,27.19,10.6,0.05,14.485579999999999,106.18199802176063,2.671060909920348
JOI 06.11.2025 ,71,Nistor,4328,54.17,79.9,18,26,13,4,136.27,112,254.74,41.3,0.0,7.0,0.0,12.7934,54.1677096370463,2.359032268295435
LUNI 03.11.2025 COMPENSATOR ,71,Nistor,5374,73.45,73.18,51,34,11,10,263.52,203,429.98,21.9,0.0,8.4,0.0,18.904400000000003,73.43536485378517,3.4858669011180945
MARTI 04.11.2025 METABOLIC,71,Nistor,6570,56.1,117.12,40,28,5,6,260.68,184,248.13,107.31,0.0,7.5,0.0,19.2136,56.096311475409834,3.542881672590646
MIERCURI 05.11.2025,71,Nistor,5692,51.2,111.17,29,24,8,4,219.5,139,321.42,85.05,46.41,6.8,0.03,16.50482,51.200863542322566,3.0433976083299092
DUMINICA - REACTIVITATE 30.11.2025,74,Murgia,5266,59.75,92.24,25,22,7,12,138.57,146,303.35,5.16,0.0,7.0,0.0,14.4574,57.09019947961839,2.6658646736328433
JOI 27.11.2025 FORTA-SSG ,74,Murgia,3333,92.56,36.03,29,24,3,7,187.18,169,300.96,45.78,0.0,9.3,0.0,15.106600000000002,92.50624479600333,2.78557356638828
MARTI 25.11.2025  (AEROB ),74,Murgia,10065,112.31,89.62,46,42,9,20,273.62,327,1738.05,231.22,12.92,10.5,0.02,27.45324,112.30752064271367,5.062225759318006
TEHNIC + TACTIC -29.11.2025,74,Murgia,4942,52.03,94.97,36,25,4,10,253.06,177,243.86,247.49,80.81,6.9,0.06,17.454819999999998,52.03748552174371,3.2185723589732613
Tactic 26.11.2025,74,Murgia,7288,77.72,93.78,55,31,9,14,277.88,244,518.08,64.28,0.0,8.3,0.0,21.8756,77.71379825122628,4.033739763340755
VINERI 28.11.2025,74,Murgia,7869,75.63,104.04,34,47,4,10,184.55,271,663.2,43.08,0.0,7.9,0.0,20.93,75.63437139561707,3.8593763483845933
Compensator Murgia,73,Murgia,7863,113.72,69.14,16,6,3,1,142.73,43,3274.88,97.03,0.0,10.8,0.0,16.977600000000002,113.72577379230546,3.1305756279185037
vineri 21.11.2025,73,Murgia,5825,63.76,93.68,12,8,4,2,56.07,24,839.57,0.0,0.0,6.9,0.0,10.8764,62.1797608881298,2.005548060944586
MIERCURI 05.11.2025,71,Murgia,0,0.0,111.17,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOI 27.11.2025 FORTA-SSG ,74,Moraru,2705,75.12,36.03,34,38,7,10,217.09,207,317.68,39.41,0.0,9.3,0.0,15.8368,75.07632528448515,2.920218411566991
